screenName,text,klasa
M4MTA,"RT @M4MTA: Totally disillusioned and horrified by UK politics since #Brexit ref. We're being mocked and ridiculed worldwide. CANCEL BREXIT.…",negatywna
M4MTA,"RT @M4MTA: #Brexit negs such a monumental painstaking task, vast, complex. The current cabinet of buffoons will need a lifetime to sort. We…",pozytywna
neilburgh,RT @stewartbremner: Why do the media &amp; politicians all blindly accept #brexit will happen. Sign the petition – tell them to stop it. https:…,negatywna
AbrahamRydolph,"RT @Summerof69Nine: @Peston Optics~because they're two sides poles apart, not just in the #Brexit content but in the 'negotiating' room too…",negatywna
DavidBashford,"@Peston It turned into a ""domestic"". Turns out our #brexiteers are more wife-beater than world-leader #brexit #remain",pozytywna
SWLabourParty,RT @ClareMoodyMEP: Doing media on the start of the #Brexit negotiations today - we need to secure a deal with our friends that puts our eco…,pozytywna
LiloMan_LUFC,"RT @julia_politics: I think I may be politically depressed. Is that a thing? #Brexit #TheresaMay #Brexit1yrOn",negatywna
maelysdervenn,"RT @lunaperla: @jerryhogg Above all, Freedom of Movement ≠ Open Borders There's been a deliberate attempt by some leaders of the #Brexit mo…",pozytywna
BenM_Kent,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
hes153ter,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
Summerof69Nine,"@Peston Optics~because they're two sides poles apart, not just in the #Brexit content but in the 'negotiating' room… https://t.co/Q9Lri4oqeJ",negatywna
joneyi1,RT @bevclack: Barnier gave Davies a walking stick as a gift at start of #Brexit negotiations. EU now officially trolling UK. #mountain #kna…,pozytywna
Alwaysprotestin,"@gavreilly Brits have first dibs, they'll need a new #Brexit Secretary by the end of the month, must have high leve… https://t.co/FffZfJ1Zp8",pozytywna
diplosolutions,"The party that sets the timetable, tempo, and sequence in a negotiation is in the advantaged position- in this case, the EU. #Brexit",pozytywna
ChrisKeelty,@PKBook22 @Brexit @BrexitDebateUK @BrexitCentral If #Brexit is so good why are they afraid to let… https://t.co/iYUIGU0a9z,pozytywna
JustinCIH,#Brexit negotiations: Barnier rules out 'concessions' https://t.co/0hAxSqT7AE #brexittalks,pozytywna
jacinda481,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
schtrmfette,RT @Molly4Bristol: Another #Brexit embarrassment: we've sent an #AllMalePanel to the most important negotiations over our future since WWII…,pozytywna
ChrisKeelty,If #Brexit is so good why are they afraid to let #TheWillOfThePeople have the final say? Strange that one https://t.co/JKXoXJ3ZXE,negatywna
ks_1968,RT @gweston7: @C4Ciaran I voted labour to cause a #shitstorm with #brexit #tacticalvoting ������������,pozytywna
miajankowicz,"As our eminently capable negotiators start their work in Brussels, reminder of what #Brexit could do to the arts: https://t.co/8MAiB5up5O",pozytywna
GMG1106,RT @julietlodge2: #brexit and destruction of economy https://t.co/YPyCavB0Oa,negatywna
madeincos,And so it begins #brexit #STRONGANDSTABLE ������#MayOut https://t.co/Wbg72xrDxW,pozytywna
meeware,"RT @nickreeves9876: Japan should be a #Brexit heaven; outside the EU, near booming markets, low immigration. It's had 20 years of economic…",pozytywna
Krosta_A,RT @talanx_en: #Brexit negotiations about to start. Richard Taylor of HDI in London about consequences for the #insurance business https://…,negatywna
Hattie4Bond,"RT @Phil_Baty: Almost 25,000 people from the EU teach &amp; research in the UK's top universities. We must protect them. #brexittalks #brexit h…",pozytywna
VARIO_VL,"RT @Bruegel_org: Pharmaceutical industry at risk from Brexit. A blog by Jianwei Xu https://t.co/c1v0o3IfIx #Brexit #pharmaceutical #trade h…",negatywna
Marianwright20,RT @AdeAuthor: @GeorgeMonbiot *sigh* does 52% of the pop still want #Brexit? I really can't imagine this cluster cock up is what they had i…,negatywna
flowerbedgrl,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
londonmandy1,RT @sturdyAlex: This press conference presents a significant problem for much of the #Brexit camp. It refuses to play into their chosen nar…,negatywna
cheekylatte,RT @LBC: How do you feel about the prospect of a successful Brexit negotiation? #CliveOnLBC #Brexit @DavidDavisMP @MichelBarnier,pozytywna
ravbillan,Potential #supertweet A valid point about austerity &amp; uncertainty #Brexit @_Future_Leaders @TrevorHaynes575… https://t.co/LOSjr9p54H,negatywna
DePleuris,RT @weloveeconomics: #Brexit - China export myth vs reality: Was EU stopping  UK from exporting to 3rd countries? Or was it just poor polic…,negatywna
mulligannaomia,RT @alexstubb: Brexit negs begin today. Worst outcome: no result.  Possible outcome: soft Brexit. Likely outcome: hard #Brexit. Best outcom…,negatywna
creativeblock_,Not a wheelchair?! #Brexit https://t.co/kfBayZqYRc,pozytywna
venuscow8,"RT @Mylegalforum: #TheresaMay spent entire election telling everyone #Brexit needed her 'strong hand'.....Day one - #DavidDavis goes in h…",negatywna
TewkesburyUKIP,"A brilliant music video from one of our supporters. https://t.co/JZotvzbtCH #UKIP #Brexit #brexittalks #BrexitNegotiations",pozytywna
Lex_Fama,The latest Lex Fama - Legal News Roundup! https://t.co/hUQOn6kBYM Thanks to @CourtNewsUK @arzilmoorthy @barnhill_jeff #brexit #uk,pozytywna
SantiagoJones,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
dbsweeney167,RT @RetroSchott: This from Barnier sums up the #brexit clusterf����ck nicely. https://t.co/3lqwG006r2,pozytywna
silksmeister,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
MSPOA,@JaydaBF When an Islamist beheads a high ranking member of the elite... they will get it. #EndEU #BREXIT,pozytywna
browntom1234,"RT @thunderf00t: lets test the water.  1 year on, #brexit looks like",pozytywna
wheeler_pippa,"RT @tony_nog: Only the TV or Radio media can ask this on our behalf And we need to know #Brexit @BBCNewsnight @daily_politics @Channel4New…",pozytywna
shuvankr,"I'll tell you .. If you tell me, when UK is paying 100 Billion in #Brexit #Palimony ? �� https://t.co/qRalqOQm9J",pozytywna
HughQuarshie,RT @LyndseyStonebri: #Brexit talks to be in French and English. https://t.co/NlNtA3DxZN,pozytywna
Christi80172188,"RT @UKIPNFKN: #EURef2: British people have changed their minds on Brexit, poll finds via @BelTel #Brexit #MayDUP #BrexitExit https://t.co…",pozytywna
petitejean1,"@WestmonsterUK @georgegalloway I am actually agreeing with George here #brexit I need a drink https://t.co/DvU0hBCDf5",pozytywna
browntom1234,"RT @acgrayling: No-one in the UK has a mandate to negotiate with the EU on #Brexit. Negotiations have to be delayed, or better: Art 50 with…",pozytywna
diplosolutions,The UK concedes to the EU's timetable after first day of #Brexit talks. This puts UK in structurally weaker negotiating position.,negatywna
MatthewThatche1,"RT @theSNP: As #Brexit negotiations start today read @NicolaSturgeon on why there should be a genuine four-nation approach. https://t.co/J…",pozytywna
nGoose1,"RT @5WrightStuff: Plus, as Brexit negotiations begin, is it time for Theresa May to step aside? #TheresaMay #Brexit https://t.co/xVTQ1bEAYg",pozytywna
wrikent3500,"RT @digitaljournal: The gifts that started #Brexit show just how big a mountain the U.K. and the EU have to climb https://t.co/qAgGZESCiO",pozytywna
pussellrarker,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
Christi80172188,"RT @UKIPNFKN: The UK is on its own - going backwards in the most expensive pointless &amp; self-destructive way possible #Brexit #MayDUP #Br…",negatywna
michaellondonsf,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
mcneil_tom,Both IDS and Nick Clegg stated shamefully innacurate things about #Labour and it's stance on #Brexit on @Channel4News,negatywna
robsmith286,RT @grahambsi: Barnier is clearly in charge and will set the terms of the #Brexit negotiation. Davis looked flustered and out of his depth.,negatywna
SailormanIan,RT @TheGreatRemain: Get used to this #Brexiteers all those things you were promised won't come true. Reality of #brexit showing as UK has n…,negatywna
browntom1234,"RT @acgrayling: The EU is telling us: stay, you'll be so welcome. What a blessed relief it would be to shed the #Brexit nightmare &amp; return…",pozytywna
donalda007,"RT @kimwillsher1: Everybody (except diehard Brexiters) knows what a disaster this is, even the British representatives negotiating #Brexit.…",negatywna
lynnebaird8,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
MGuersing,RT @Schuldensuehner: The most complicated negotiation of all time has begun. Your guide to the EU-UK #Brexit negotiations. https://t.co/b1y…,negatywna
steflamethrower,"RT @BrettArends: #Brexit is rapidly threatening to turn into a disaster. UK government trying to press ahead with a ""Hard"" Brexit.",negatywna
Naomi_Fowler,"#Brexit negotiations: “It’s not how it starts, it’s how it finishes that matters."" Good luck with that. #dellusional https://t.co/kRpLlcG5Ek",pozytywna
jesseja98617169,"RT @UKIPNFKN: The number of Brits seeking German citizenship jumped 361% after Brexit via @BIUK #Brexit #MayDUP #BrexitExit https://t.co/1E…",pozytywna
ChrisKeelty,@DogeRepublic perhaps some should look at what the Tories have done to the UK especially when it comes to the… https://t.co/YVlLVbLaml,pozytywna
Kukushkie,"RT @EU_Commission: Article 50 negotiations just started. #Brexit https://t.co/xxbt5ayrqz",pozytywna
Lucesweets,RT @seb_sutcliffe: Is the UK having a nervous breakdown? #GE2017 #FinsburyPark #Brexit #Manchester #Westminster #LondonBridge #GrenfellTower,negatywna
senatoriavita,"RT @cliodiaspora: So here we are: 19 June 2017, it's the day #Brexit negotiations start. And here's the UK on its way, strong and stable as…",pozytywna
sdoddsy,Day 1. What an amazing negotiator. UK is fu*ked #Brexit #EU #DavidDavis https://t.co/tBD3tzolxZ,pozytywna
OpenRightsBrum,What's next for #digitalrights after #GE2017? Join us @BOMlab next Monday for #censorship #encryption #Brexit chat… https://t.co/6Yj9iWNdAQ,pozytywna
politUKal,Michel Barnier and David Davis exchanged some odd gifts but there's a clever reason for them #Brexit #Brexit1yrOn https://t.co/fngFLryZbp,pozytywna
IvyDavis32,"Three main items are been discussed at the #brexit talks (1) citizens rights (2) A UK ""final financial bill"" (3) All other matters. ��������",pozytywna
X_Sticks_Real,RT @stewartbremner: Why do the media &amp; politicians all blindly accept #brexit will happen. Sign the petition – tell them to stop it. https:…,negatywna
